"Year","Site","Depth","Transect","AllAlgae","BL","CCA","Healthy","OTH","TL","WS"
2015,"Beloi","10m","1",9.09090909090909,4.32900432900433,0,75.7575757575758,9.09090909090909,0.432900432900433,1.2987012987013
2015,"Beloi","10m","2",8,3.55555555555556,0,76.4444444444444,10.2222222222222,1.77777777777778,0
2015,"Beloi","10m","3",2.10691564075023,7.58489630670082,0.421383128150045,79.3522267206478,9.69181194745105,0,0.842766256300091
2015,"Beloi","5m","1",4.54545454545454,4.09090909090909,0,80,9.54545454545454,0.909090909090909,0.909090909090909
2015,"Beloi","5m","2",2.19228316326531,7.8922193877551,0,75.4464285714286,14.030612244898,0,0.438456632653061
2015,"Beloi","5m","3",5.86319218241042,8.79478827361564,0.325732899022801,78.5016286644951,4.88599348534202,0,1.62866449511401
2015,"CristoRei","10m","1",22.3651104277327,10.0642996924797,0,59.1836734693878,5.03214984623987,2.79563880346659,0.559127760693318
2015,"CristoRei","10m","2",18.5035842293907,10.573476702509,1.58602150537634,61.9354838709677,7.40143369175627,0,0
2015,"CristoRei","10m","3",6.4306128929819,5.57319784058431,0,71.2765957446808,15.4334709431566,1.28612257859638,0
2015,"CristoRei","5m","1",30.3206997084548,15.1603498542274,1.74927113702624,42.8571428571429,9.91253644314869,0,0
2015,"CristoRei","5m","2",15.866162978953,16.9994603345926,1.1332973556395,58.8235294117647,7.17754991905019,0,0
2015,"CristoRei","5m","3",9.16422287390029,8.06451612903226,1.09970674486804,75.8064516129032,4.39882697947214,1.46627565982405,0
2015,"DiliRock","10m","1",20.5241090146751,4.10482180293501,0,66.4150943396226,7.46331236897275,1.49266247379455,0
2015,"DiliRock","10m","2",26.6855378281009,2.09298335906674,1.04649167953337,54.4776119402985,15.6973751930005,0,0
2015,"DiliRock","10m","3",24.0964548802947,6.81975138121547,1.36395027624309,56.353591160221,10.0023020257827,1.36395027624309,0
2015,"DiliRock","5m","1",18.4054283290924,14.2493638676845,2.96861747243427,51.9083969465649,12.4681933842239,0,0
2015,"DiliRock","5m","2",17.6484848484848,18.3272727272727,2.71515151515151,55.2,6.10909090909091,0,0
2015,"DiliRock","5m","3",14.2359767891683,19.5744680851064,4.44874274661509,51.063829787234,10.6769825918762,0,0
2015,"Manatuto","10m","1",8.64735658042745,13.2592800899888,0,67.7165354330709,9.22384701912261,0,0.576490438695163
2015,"Manatuto","10m","2",6.05095541401274,14.6231422505308,1.00849256900212,63.6942675159236,13.1104033970276,1.00849256900212,0.504246284501061
2015,"Manatuto","10m","3",12.6109924693717,12.2400809261549,1.11273462965044,54.3778801843318,18.1746656176239,1.48364617286726,0
2015,"Manatuto","5m","1",18.6170212765957,13.8297872340426,2.65957446808511,50,14.3617021276596,0,0.531914893617021
2015,"Manatuto","5m","2",20.2064572809137,4.39270810454645,3.07489567318252,49.0445859872611,22.8420821436416,0.439270810454645,0
2015,"Manatuto","5m","3",15.2941176470588,6.47058823529412,4.41176470588235,50,23.5294117647059,0.294117647058824,0
2017,"Beloi","10m","1",6.03404563563926,0.354943860919957,0.354943860919957,80.4780876494024,10.6483158275987,1.77471930459978,0.354943860919957
2017,"Beloi","10m","2",5.76576576576577,0.720720720720721,0.36036036036036,83.7837837837838,8.28828828828829,1.08108108108108,0
2017,"Beloi","10m","3",9.15395284327323,0.277392510402219,1.10957004160888,71.4285714285714,14.7018030513176,2.77392510402219,0.554785020804438
2017,"Beloi","5m","1",12.0085929108486,1.53956319369853,2.46330110991765,69.8245614035088,10.7769423558897,2.77121374865736,0.615825277479413
2017,"Beloi","5m","2",7.50347383047707,1.00046317739694,1.25057897174618,78.740157480315,8.75405280222325,2.00092635479389,0.750347383047707
2017,"Beloi","5m","3",8.75966686496133,0.847709696609161,2.8256989886972,76.8292682926829,9.04223676383105,1.13027959547888,0.565139797739441
2017,"CristoRei","10m","1",16.6180758017493,1.10787172011662,1.66180758017493,61.2244897959184,16.064139941691,3.32361516034985,0
2017,"CristoRei","10m","2",14.7844971600401,1.97126628800535,0,64.0243902439024,18.2342131640495,0.985633144002673,0
2017,"CristoRei","10m","3",8.39160839160839,1.97449609214315,1.48087206910736,74.331550802139,13.3278486219663,0.493624023035788,0
2017,"CristoRei","5m","1",20.8333333333333,5.88768115942029,0.905797101449275,56.5217391304348,14.0398550724638,1.81159420289855,0
2017,"CristoRei","5m","2",18.2010582010582,4.65608465608466,2.11640211640212,55.5555555555556,17.7777777777778,1.69312169312169,0
2017,"CristoRei","5m","3",7.0899209486166,1.51926877470356,1.51926877470356,76.7045454545455,13.1669960474308,0,0
2017,"DiliRock","10m","1",6.72727272727273,0.961038961038961,0,66.3636363636364,25.9480519480519,0,0
2017,"DiliRock","10m","2",4.44952962115434,0.635647088736334,0,85.3801169590643,9.534706331045,0,0
2017,"DiliRock","10m","3",7.29312762973352,3.12562612702865,1.56281306351433,83.8509316770186,4.16750150270487,0,0
2017,"DiliRock","5m","1",6.76691729323308,4.22932330827068,3.38345864661654,67.8571428571429,17.7631578947368,0,0
2017,"DiliRock","5m","2",7.69903762029746,0,1.39982502187227,62.2047244094488,27.9965004374453,0.699912510936133,0
2017,"DiliRock","5m","3",11.5384615384615,1.04895104895105,4.1958041958042,53.8461538461538,25.1748251748252,4.1958041958042,0
2017,"Manatuto","10m","1",13.7170731707317,1.44390243902439,0.721951219512195,70.4,10.1073170731707,3.60975609756098,0
2017,"Manatuto","10m","2",15.1546795457512,1.68385328286125,0,73.6196319018405,5.05155984858374,4.49027542096332,0
2017,"Manatuto","10m","3",10.6194690265487,5.01474926253687,0,79.3510324483776,2.94985250737463,2.06489675516224,0
2017,"Manatuto","5m","1",23.5449735449735,5.17989417989418,4.23809523809524,49.1428571428571,16.4814814814815,1.41269841269841,0
2017,"Manatuto","5m","2",27.8382930937675,7.06344750140371,2.49298147108366,43.0769230769231,18.6973610331275,0.830993823694554,0
2017,"Manatuto","5m","3",13.6760310818888,3.15600717274357,1.75333731819087,63.1799163179916,15.4293684000797,2.8053397091054,0
