Year,Site,Site2,Depth,Transect,AllAlgae,BL,CCA,GA,Healthy,OTH,TL,WS
2015,Beloi,Rural-N,10m,1,9.090909091,4.329004329,0,0.432900433,75.75757576,8.658008658,0.432900433,1.298701299
2015,Beloi,Rural-N,10m,2,8,3.555555556,0,0,76.44444444,10.22222222,1.777777778,0
2015,Beloi,Rural-N,10m,3,2.106915641,7.584896307,0.421383128,1.264149384,79.35222672,8.427662563,0,0.842766256
2015,Beloi,Rural-N,5m,1,4.545454545,4.090909091,0,0.454545455,80,9.090909091,0.909090909,0.909090909
2015,Beloi,Rural-N,5m,2,2.192283163,7.892219388,0,1.315369898,75.44642857,12.71524235,0,0.438456633
2015,Beloi,Rural-N,5m,3,5.863192182,8.794788274,0.325732899,0,78.50162866,4.885993485,0,1.628664495
2015,CristoRei,Urban-E,10m,1,22.36511043,10.06429969,0,0,59.18367347,5.032149846,2.795638803,0.559127761
2015,CristoRei,Urban-E,10m,2,18.50358423,10.5734767,1.586021505,0,61.93548387,7.401433692,0,0
2015,CristoRei,Urban-E,10m,3,6.430612893,5.573197841,0,0.428707526,71.27659574,15.00476342,1.286122579,0
2015,CristoRei,Urban-E,5m,1,30.32069971,15.16034985,1.749271137,1.166180758,42.85714286,8.746355685,0,0
2015,CristoRei,Urban-E,5m,2,15.86616298,16.99946033,1.133297356,1.133297356,58.82352941,6.044252563,0,0
2015,CristoRei,Urban-E,5m,3,9.164222874,8.064516129,1.099706745,0,75.80645161,4.398826979,1.46627566,0
2015,DiliRock,Urban-W,10m,1,20.52410901,4.104821803,0,1.119496855,66.41509434,6.343815514,1.492662474,0
2015,DiliRock,Urban-W,10m,2,26.68553783,2.092983359,1.04649168,0,54.47761194,15.69737519,0,0
2015,DiliRock,Urban-W,10m,3,24.09645488,6.819751381,1.363950276,0,56.35359116,10.00230203,1.363950276,0
2015,DiliRock,Urban-W,5m,1,18.40542833,14.24936387,2.968617472,0,51.90839695,12.46819338,0,0
2015,DiliRock,Urban-W,5m,2,17.64848485,18.32727273,2.715151515,0,55.2,6.109090909,0,0
2015,DiliRock,Urban-W,5m,3,14.23597679,19.57446809,4.448742747,1.779497099,51.06382979,8.897485493,0,0
2015,Manatuto,Rural-E,10m,1,8.64735658,13.25928009,0,0.576490439,67.71653543,8.64735658,0,0.576490439
2015,Manatuto,Rural-E,10m,2,6.050955414,14.62314225,1.008492569,0,63.69426752,13.1104034,1.008492569,0.504246285
2015,Manatuto,Rural-E,10m,3,12.61099247,12.24008093,1.11273463,0,54.37788018,18.17466562,1.483646173,0
2015,Manatuto,Rural-E,5m,1,18.61702128,13.82978723,2.659574468,0,50,14.36170213,0,0.531914894
2015,Manatuto,Rural-E,5m,2,20.20645728,4.392708105,3.074895673,0,49.04458599,22.84208214,0.43927081,0
2015,Manatuto,Rural-E,5m,3,15.29411765,6.470588235,4.411764706,0,50,23.52941176,0.294117647,0
2017,Beloi,Rural-N,10m,1,6.034045636,0.354943861,0.354943861,0,80.47808765,10.64831583,1.774719305,0.354943861
2017,Beloi,Rural-N,10m,2,5.765765766,0.720720721,0.36036036,0,83.78378378,8.288288288,1.081081081,0
2017,Beloi,Rural-N,10m,3,9.153952843,0.27739251,1.109570042,0,71.42857143,14.70180305,2.773925104,0.554785021
2017,Beloi,Rural-N,5m,1,12.00859291,1.539563194,2.46330111,0.615825277,69.8245614,10.16111708,2.771213749,0.615825277
2017,Beloi,Rural-N,5m,2,7.50347383,1.000463177,1.250578972,0,78.74015748,8.754052802,2.000926355,0.750347383
2017,Beloi,Rural-N,5m,3,8.759666865,0.847709697,2.825698989,0,76.82926829,9.042236764,1.130279595,0.565139798
2017,CristoRei,Urban-E,10m,1,16.6180758,1.10787172,1.66180758,0.55393586,61.2244898,15.51020408,3.32361516,0
2017,CristoRei,Urban-E,10m,2,14.78449716,1.971266288,0,0.492816572,64.02439024,17.74139659,0.985633144,0
2017,CristoRei,Urban-E,10m,3,8.391608392,1.974496092,1.480872069,0.493624023,74.3315508,12.8342246,0.493624023,0
2017,CristoRei,Urban-E,5m,1,20.83333333,5.887681159,0.905797101,0.452898551,56.52173913,13.58695652,1.811594203,0
2017,CristoRei,Urban-E,5m,2,18.2010582,4.656084656,2.116402116,0,55.55555556,17.77777778,1.693121693,0
2017,CristoRei,Urban-E,5m,3,7.089920949,1.519268775,1.519268775,0,76.70454545,13.16699605,0,0
2017,DiliRock,Urban-W,10m,1,6.727272727,0.961038961,0,0.961038961,66.36363636,24.98701299,0,0
2017,DiliRock,Urban-W,10m,2,4.449529621,0.635647089,0,1.906941266,85.38011696,7.627765065,0,0
2017,DiliRock,Urban-W,10m,3,7.29312763,3.125626127,1.562813064,0,83.85093168,4.167501503,0,0
2017,DiliRock,Urban-W,5m,1,6.766917293,4.229323308,3.383458647,0.845864662,67.85714286,16.91729323,0,0
2017,DiliRock,Urban-W,5m,2,7.69903762,0,1.399825022,0,62.20472441,27.99650044,0.699912511,0
2017,DiliRock,Urban-W,5m,3,11.53846154,1.048951049,4.195804196,0,53.84615385,25.17482517,4.195804196,0
2017,Manatuto,Rural-E,10m,1,13.71707317,1.443902439,0.72195122,0.72195122,70.4,9.385365854,3.609756098,0
2017,Manatuto,Rural-E,10m,2,15.15467955,1.683853283,0,0,73.6196319,5.051559849,4.490275421,0
2017,Manatuto,Rural-E,10m,3,10.61946903,5.014749263,0,0,79.35103245,2.949852507,2.064896755,0
2017,Manatuto,Rural-E,5m,1,23.54497354,5.17989418,4.238095238,0,49.14285714,16.48148148,1.412698413,0
2017,Manatuto,Rural-E,5m,2,27.83829309,7.063447501,2.492981471,0,43.07692308,18.69736103,0.830993824,0
2017,Manatuto,Rural-E,5m,3,13.67603108,3.156007173,1.753337318,0,63.17991632,15.4293684,2.805339709,0
