genus,GEN
Acanthastrea,ACA
Acropora,ACR
Alveopora,ALV
Astreopora,AST
Coeloseris,COE
Cosinarea,COS
Ctenactis,CTE
Cyphastrea,CYP
Diploastrea,DIP
Echinophyllia,EPHY
Echinopora,EPOR
Euphyllia,EUP
Favia,Favia
Favities,FAV
Fungia,FUN
Galaxea,GAL
Gardineroseris,GAR
Goniastrea,GONIAS
Goniopora,GONIO
Halomitra,HAL
Heliofungia,HEL
Hydnophora,HYD
Isopora,ISO
Leptastrea,LEPTA
Leptoria,Leptoria
Leptoseris,LEPTO
Lithophyllon,LIT
Lobophyllia,LOB
Merulina,MER
Montastrea,MON
Montipora,MONTI
Mycedium,MYC
Oulophyllia,OUL
Oxypora,OXY
Pachyseris,PAC
Pavona,PAV
Pectinia,PEC
Platygyra,PLA
Plerogyra,PLE
Pocillopora,POC
Polyphyllia,POL
Porites,POR
Psammocora,PSA
Sandalolitha,SAN
Seriatopora,SER
Stylophora,STY
Symphyllia,SYM
Tubipora,TUB
Turbinaria,TUR
