num_id,long_id
1,Beloi_10m_1
2,Beloi_10m_2
3,Beloi_10m_3
4,Beloi_5m_1
5,Beloi_5m_2
6,Beloi_5m_3
7,CristoRei_10m_1
8,CristoRei_10m_2
9,CristoRei_10m_3
10,CristoRei_5m_1
11,CristoRei_5m_2
12,CristoRei_5m_3
13,DiliRock_10m_1
14,DiliRock_10m_2
15,DiliRock_10m_3
16,DiliRock_5m_1
17,DiliRock_5m_2
18,DiliRock_5m_3
19,Manatuto_10m_1
20,Manatuto_10m_2
21,Manatuto_10m_3
22,Manatuto_5m_1
23,Manatuto_5m_2
24,Manatuto_5m_3
19,Manatutu_10m_1
20,Manatutu_10m_2
21,Manatutu_10m_3
22,Manatutu_5m_1
23,Manatutu_5m_2
24,Manatutu_5m_3
